latitude,longitude,application_permit_number,blockgroup
47.72119585,-122.37139394,6269636,167309.0
47.61304116,-122.34060091,6271067,79464.0
47.6594729,-122.31520004,6271066,20472.0
47.68075376,-122.34752806,6271026,116671.0
47.61957886,-122.29153862,6271020,123308.0
47.63419063,-122.35408737,6271006,77866.0
47.61871143,-122.29264947,6270745,44827.0
47.71426678,-122.32262289,6263185,170161.0
47.70842911,-122.33321386,6270921,163056.0
47.66461702,-122.30143406,6270919,95968.0
47.61227955,-122.34513022,6270911,125326.0
47.57257725,-122.2943801,6270902,104223.0
47.71032724,-122.28748897,6270871,162441.0
47.63419121,-122.27824339,6270865,87971.0
47.55101005,-122.27567713,6269408,128998.0
47.62929639,-122.34195105,6270794,82136.0
47.67613357,-122.36330707,6270101,194098.0
47.5782508,-122.39449443,6270798,194077.0
47.63492897,-122.35608838,6270774,70372.0
47.68447429,-122.27720114,6270770,214721.0
47.67853431,-122.37112048,6270662,76045.0
47.64187728,-122.32442074,6270666,4507.0
47.60601913,-122.32794699,6270485,42802.0
47.55020455,-122.27889939,6270683,128998.0
47.65702676,-122.33535728,6270649,100458.0
47.61108861,-122.34218313,6270371,123311.0
47.6774562,-122.31846715,6270623,121801.0
47.62467123,-122.29963387,6270565,44844.0
47.6049702,-122.30861457,6270562,42800.0
47.65295777,-122.33442083,6269616,125305.0
47.71416547,-122.31214703,6270515,162438.0
47.56551435,-122.28828656,6270513,180770.0
47.62335801,-122.29512205,6270505,44827.0
47.70071762,-122.38368875,6270488,210460.0
47.57391018,-122.33228473,6270432,47168.0
47.66135885,-122.26960461,6270426,114115.0
47.65129329,-122.41025732,6270386,81602.0
47.56424186,-122.40121157,6268349,97819.0
47.63070206,-122.3899481,6270369,53970.0
47.53026769,-122.37500998,6270349,9527.0
47.61273241,-122.32482818,6270321,125309.0
47.67194465,-122.2637283,6270309,23553.0
47.65787065,-122.35865796,6266407,156817.0
47.62101425,-122.33953924,6270230,79464.0
47.66626589,-122.26423726,6265214,23553.0
47.61418477,-122.33486766,6270220,79469.0
47.71493928,-122.33171846,6268844,167312.0
47.53471112,-122.32566214,6155733,59164.0
47.68807094,-122.31664032,6264361,214725.0
47.5674198,-122.39851835,6270145,117111.0
47.72736095,-122.31070576,6259168,131269.0
47.51288057,-122.39333722,6270081,157683.0
47.54701347,-122.39881349,6259212,85934.0
47.56242688,-122.39382985,6270064,117779.0
47.66756316,-122.35485491,6270047,120291.0
47.61597954,-122.33086962,6270035,79468.0
47.64911336,-122.37070597,6270034,4498.0
47.72256174,-122.28314096,6269961,203689.0
47.56652158,-122.31815798,6269954,47168.0
47.60616219,-122.33166297,6269940,125327.0
47.62231776,-122.34146004,6269479,79464.0
47.71319415,-122.28057696,6269926,162469.0
47.62395546,-122.33393376,6269881,79465.0
47.61643927,-122.28628535,6269858,123308.0
47.55546025,-122.3129718,6269837,132934.0
47.66557753,-122.30997316,6216327,122826.0
47.70270496,-122.34715473,6240602,77235.0
47.69850337,-122.2756313,6269789,162470.0
47.59853664,-122.29844284,6225894,46589.0
47.62116459,-122.33477595,6269768,79469.0
47.54462237,-122.25787797,6269707,173636.0
47.67492201,-122.30846009,6269386,122825.0
47.61799488,-122.30321003,6265589,123309.0
47.62397824,-122.28544019,6269694,127709.0
47.6640822,-122.34430668,6269555,174272.0
47.67519916,-122.31900488,6269623,121801.0
47.67966857,-122.30694502,6262330,95346.0
47.53586571,-122.33839793,6269562,59166.0
47.70010459,-122.30518389,6269573,210964.0
47.67177963,-122.32704808,6261875,55380.0
47.61915912,-122.34858677,6259226,79464.0
47.60129225,-122.29416119,6245076,46589.0
47.61534104,-122.34845928,6269473,220361.0
47.66220385,-122.27797769,6258402,215641.0
47.61218226,-122.34770992,6268944,125326.0
47.65059258,-122.36162232,6203886,163563.0
47.58193891,-122.39425715,6269423,86415.0
47.56262893,-122.39053082,6269430,180901.0
47.56907171,-122.40892507,6255406,97819.0
47.57189344,-122.37741068,6269353,100457.0
47.68014877,-122.30425315,6269352,131270.0
47.64415411,-122.4026096,6269313,35861.0
47.61432844,-122.31258672,6264824,123310.0
47.6784941,-122.2667746,6269310,134448.0
47.64054015,-122.34870553,6269288,4503.0
47.70855722,-122.36323375,6269171,207488.0
47.53192332,-122.38382924,6269086,170328.0
47.65550002,-122.3401583,6262594,24600.0
47.57871676,-122.28954499,6269085,121837.0
47.58752045,-122.38796594,6269091,125307.0
47.67749136,-122.31944075,6269056,121801.0
47.6070606,-122.30967102,6269049,131271.0
47.61218226,-122.34770992,6269052,125326.0
47.69428206,-122.30189325,6269043,214175.0
47.55805049,-122.28439243,6268478,107670.0
47.62728509,-122.32160409,6269033,82133.0
47.66178717,-122.3181394,6266485,20474.0
47.55397168,-122.30579431,6268870,107700.0
47.56163461,-122.28785945,6268994,104222.0
47.67912992,-122.31122177,6269005,97307.0
47.65161081,-122.35422008,6170015,55384.0
47.68237032,-122.35635121,6268995,116672.0
47.69477015,-122.28913057,6268993,214177.0
47.71159353,-122.3654092,6268973,167309.0
47.6162292,-122.28505863,6268300,87624.0
47.55079508,-122.3774138,6268949,181600.0
47.68094801,-122.26746088,6268914,134448.0
47.60649299,-122.31122887,6268876,131271.0
47.60896041,-122.34053781,6262849,53976.0
47.54291808,-122.32017926,6263749,52905.0
47.63559,-122.34924217,6267421,82777.0
47.5518137,-122.30544105,6265328,180772.0
47.67600883,-122.27977597,6268792,173667.0
47.61048766,-122.32838561,6268776,72391.0
47.70489413,-122.37176051,6268757,185881.0
47.54698726,-122.39540199,6268718,85934.0
47.60649299,-122.31122887,6268660,131271.0
47.63806125,-122.38863044,6268654,53972.0
47.53434084,-122.37855724,6268652,95345.0
47.640257,-122.31671128,6267429,180766.0
47.61772743,-122.30768156,6252508,190552.0
47.54340979,-122.32002945,6263750,52905.0
47.54421359,-122.32150342,6263748,52905.0
47.54571373,-122.31928734,6263747,52906.0
47.71286908,-122.3363662,6268604,167312.0
47.61353093,-122.34233259,6268574,79464.0
47.57227799,-122.30425298,6268544,93040.0
47.54616923,-122.31966127,6263746,52906.0
47.63434183,-122.34141149,6268488,82136.0
47.60967252,-122.33230646,6268348,72388.0
47.61083028,-122.34487342,6268476,53976.0
47.68855507,-122.3802636,6268455,116675.0
47.55493244,-122.39398379,6265665,181598.0
47.64256989,-122.34826282,6267098,4503.0
47.65034994,-122.30908696,6267949,20477.0
47.59493876,-122.32677408,6268404,47167.0
47.68730174,-122.31030477,6268395,133463.0
47.63376599,-122.33969801,6268363,82136.0
47.57341088,-122.28697477,6268356,77295.0
47.60507681,-122.30609201,6268351,133462.0
47.65648245,-122.3390172,6267962,24600.0
47.55286234,-122.27664245,6268335,128998.0
47.64002492,-122.27798513,6268325,87970.0
47.61944422,-122.32319285,6268295,219181.0
47.66668518,-122.32761568,6268294,55380.0
47.62040866,-122.3029657,6268280,80092.0
47.5776994,-122.390506,6268256,194077.0
47.66261374,-122.29237764,6263822,156803.0
47.52407439,-122.38610518,6250536,170329.0
47.65101122,-122.40333226,6265477,132935.0
47.6203861,-122.33760366,6268250,79469.0
47.65715167,-122.30839447,6268233,20478.0
47.61887749,-122.33885567,6264683,79464.0
47.69709163,-122.40043041,6266575,53273.0
47.63806312,-122.37172818,6265972,39297.0
47.64961066,-122.4104114,6268196,81602.0
47.58555461,-122.39501586,6263702,86415.0
47.55650316,-122.39667889,6266248,181598.0
47.60549679,-122.33320892,6268145,125327.0
47.60765132,-122.33481388,6268143,125327.0
47.6102272,-122.3374679,6268138,125327.0
47.62354349,-122.33809018,6264298,79469.0
47.61832606,-122.33381507,6267195,79468.0
47.60449295,-122.33804582,6268120,114114.0
47.58765025,-122.37959161,6268108,123307.0
47.65140104,-122.36987346,6268107,4498.0
47.69978456,-122.28112711,6251237,214176.0
47.65040711,-122.33610895,6264473,24601.0
47.57059802,-122.29048837,6263519,180770.0
47.60740726,-122.33778279,6265418,114114.0
47.55942547,-122.30393348,6261962,180773.0
47.69136487,-122.27965564,6267080,173642.0
47.65705819,-122.32114624,6267979,130592.0
47.58275054,-122.37851871,6267968,123307.0
47.7327759,-122.29345716,6267961,158055.0
47.53029094,-122.35474834,6267950,9514.0
47.65034994,-122.30908696,6267954,20477.0
47.66231885,-122.28147251,6267942,215641.0
47.68535154,-122.28188243,6267489,214722.0
47.63953081,-122.3504013,6267486,82777.0
47.57334913,-122.31104649,6267487,93040.0
47.65588288,-122.33948129,6267492,24600.0
47.61599976,-122.34166938,6267931,79464.0
47.68199442,-122.35407977,6267863,194701.0
47.61275016,-122.33686713,6267843,72388.0
47.59903092,-122.33462845,6267829,47167.0
47.70865803,-122.28228149,6267301,162441.0
47.60967252,-122.33230646,6264413,72388.0
47.60779023,-122.3201477,6267767,50334.0
47.60449295,-122.33804582,6267750,114114.0
47.66523877,-122.29967476,6267737,123283.0
47.66099983,-122.33168356,6258277,96760.0
47.71189333,-122.30253346,6267669,162473.0
47.53971113,-122.32064353,6263533,52905.0
47.61865799,-122.29964862,6267661,44828.0
47.55922283,-122.28277949,6267270,107670.0
47.6983763,-122.31836972,6254839,210961.0
47.60421147,-122.32920318,6264529,42802.0
47.65472754,-122.34766918,6264283,55384.0
47.60740726,-122.33778279,6261354,114114.0
47.50507512,-122.26643554,6264834,217752.0
47.61137262,-122.32670155,6264322,72391.0
47.65824886,-122.36793469,6266238,77869.0
47.54646592,-122.26002302,6266661,180769.0
47.61421806,-122.31930989,6256740,80089.0
47.60652784,-122.29761307,6267591,42801.0
47.56745428,-122.3250756,6267576,47168.0
47.61418477,-122.33486766,6267566,79469.0
47.63855288,-122.39989047,6267553,62455.0
47.53866471,-122.3876275,6253898,170300.0
47.68188186,-122.37019805,6267551,127393.0
47.66036424,-122.35516308,6267542,77236.0
47.57257725,-122.2943801,6266393,104223.0
47.57189428,-122.40925214,6267543,97819.0
47.60740726,-122.33778279,6267537,114114.0
47.54131345,-122.38861563,6267530,180792.0
47.65070581,-122.33443548,6267510,24601.0
47.57727757,-122.29930778,6265652,49625.0
47.71479238,-122.32825888,6246751,170163.0
47.69953697,-122.39447041,6267474,208154.0
47.63412668,-122.28080486,6262773,82117.0
47.54731204,-122.38657767,6267142,132933.0
47.60890635,-122.31450432,6266840,70772.0
47.59728976,-122.31588122,6267419,95347.0
47.65275681,-122.41262478,6267414,81602.0
47.54999243,-122.38539782,6267409,132933.0
47.6536363,-122.41367571,6267371,81602.0
47.70366488,-122.33786147,6267365,158342.0
47.57534501,-122.29217347,6267380,86442.0
47.7098978,-122.29014648,6267348,162441.0
47.59521152,-122.28732167,6263043,85725.0
47.68115791,-122.38024089,6263926,194700.0
47.72589037,-122.35323477,6266807,158083.0
47.709164,-122.27594055,6155964,162470.0
47.5427273,-122.26513664,6267335,173636.0
47.66953135,-122.35677573,6264963,120291.0
47.56541887,-122.40256722,6265451,97819.0
47.62406618,-122.33620465,6267296,79469.0
47.56419256,-122.31382089,6267284,49627.0
47.6103371,-122.33571154,6267276,125327.0
47.64338309,-122.35411613,6262270,4503.0
47.7049711,-122.28832728,6266400,162441.0
47.61431133,-122.34245444,6267272,79464.0
47.53044022,-122.37366539,6267256,9527.0
47.60740726,-122.33778279,6267255,114114.0
47.69509941,-122.34778323,6267247,210960.0
47.62750995,-122.31652914,6267221,82132.0
47.6586219,-122.36267396,6266456,55382.0
47.51042607,-122.2627802,6266455,217752.0
47.53137916,-122.27514191,6252279,77868.0
47.67742899,-122.37170044,6266130,76045.0
47.62855692,-122.33036774,6267075,82134.0
47.65838433,-122.35986986,6263191,156817.0
47.63244539,-122.30069613,6266905,87261.0
47.60967252,-122.33230646,6267047,72388.0
47.64227378,-122.36198785,6267034,4500.0
47.67382014,-122.36586337,6267032,120292.0
47.55286551,-122.31260639,6266557,107699.0
47.61921397,-122.33808353,6266948,79469.0
47.63492777,-122.39652863,6265163,62455.0
47.60505199,-122.33428775,6266993,125327.0
47.60967252,-122.33230646,6266975,72388.0
47.63977596,-122.34986941,6266968,82777.0
47.58913611,-122.38146688,6266952,123307.0
47.6105508,-122.33467931,6266928,72388.0
47.66306035,-122.35704383,6266923,123282.0
47.60403796,-122.33498562,6266922,114114.0
47.64244131,-122.3703379,6266915,4499.0
47.59865997,-122.32855763,6266901,47167.0
47.71645567,-122.37381089,6265845,66554.0
